Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Height (m),BMI
Cristiane Rozeira de Souza Silva,F,31.0,176.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.76,22.28
Jonas de Oliveira Crivella,M,28.0,181.0,82.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.81,25.03
Hannah Cross,F,19.0,169.0,57.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Non-Medal,1.69,19.96
Ryan Crouser,M,23.0,201.0,125.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,Medal,2.01,30.94
"Samuel ""Sam"" Crouser",M,24.0,198.0,105.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,Non-Medal,1.98,26.78
Ugo Jrme Franois Marc Crousillat,M,25.0,190.0,94.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.9,26.04
"Kimberley ""Kim"" Crow-Brennan",F,30.0,188.0,74.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,Medal,1.88,20.94
Larissa Rose Crummer,F,20.0,178.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.78,22.09
Virginie Cueff,F,28.0,170.0,63.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Sprint,Non-Medal,1.7,21.8
Virginie Cueff,F,28.0,170.0,63.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Keirin,Non-Medal,1.7,21.8
Virginie Cueff,F,28.0,170.0,63.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,Non-Medal,1.7,21.8
Ana Marcela Jesus Soares da Cunha,F,24.0,165.0,66.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,Non-Medal,1.65,24.24
Logan Perry Cunningham,M,25.0,175.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,Non-Medal,1.75,23.84
Vashti Cunningham,F,18.0,185.0,56.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump,Non-Medal,1.85,16.36
Luca Cupido,M,20.0,188.0,95.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.88,26.88
Amy Louise Cure,F,23.0,172.0,63.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Non-Medal,1.72,21.3
"Thomas ""Tom"" Cusack",M,23.0,191.0,101.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Non-Medal,1.91,27.69
"Abigail ""Abbey"" D'Agostino",F,24.0,160.0,50.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",Non-Medal,1.6,19.53
Michal D'Almeida,M,28.0,176.0,80.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Keirin,Non-Medal,1.76,25.83
Michal D'Almeida,M,28.0,176.0,80.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,Medal,1.76,25.83
Felipe Santos da Costa e Silva,M,31.0,196.0,103.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.96,26.81
Ruy Leme da Fonseca Filho,M,42.0,181.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Non-Medal,1.81,23.2
Ruy Leme da Fonseca Filho,M,42.0,181.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Non-Medal,1.81,23.2
Tain Mayara da Paixo,F,24.0,171.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Non-Medal,1.71,23.6
Adilson Jos da Silva,M,44.0,175.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,Non-Medal,1.75,24.49
Adriana Aparecida da Silva,F,35.0,166.0,52.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,Non-Medal,1.66,18.87
Edson Isaas Freitas da Silva,M,34.0,170.0,83.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Non-Medal,1.7,28.72
Edson Isaas Freitas da Silva,M,34.0,170.0,83.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Non-Medal,1.7,28.72
Fernanda Frana da Silva,F,26.0,176.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Non-Medal,1.76,21.95
Gabrielle Mores da Silva,F,19.0,164.0,51.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Non-Medal,1.64,18.96
Joo Pedro Francisco da Silva,M,22.0,190.0,93.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Non-Medal,1.9,25.76
Mayra Aguiar da Silva,F,25.0,177.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,Medal,1.77,24.9
Pedro Henrique Gonalves da Silva,M,23.0,176.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Non-Medal,1.76,22.28
Rafael Carlos da Silva,M,29.0,203.0,160.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,Medal,2.03,38.83
Aldemir Gomes da Silva Jnior,M,24.0,193.0,80.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,Non-Medal,1.93,21.48
Sara Ilonka Dbritz,F,21.0,171.0,59.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Medal,1.71,20.18
Tobias Dahm,M,29.0,205.0,124.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,Non-Medal,2.05,29.51
"Phillip Peter ""Phil"" Dalhausser",M,36.0,206.0,93.0,United States-1,USA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Non-Medal,2.06,21.92
Manol Dall'Igna,M,31.0,183.0,92.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Non-Medal,1.83,27.47
Chloe Elysha Dalton,F,23.0,180.0,72.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Medal,1.8,22.22
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Non-Medal,1.68,23.74
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Non-Medal,1.68,23.74
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Non-Medal,1.68,23.74
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Non-Medal,1.68,23.74
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Non-Medal,1.68,23.74
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Non-Medal,1.68,23.74
Blandine Dancette,F,28.0,169.0,60.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Medal,1.69,21.01
Lucas Daniel,M,21.0,180.0,80.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,Non-Medal,1.8,24.69
Lucas Daniel,M,21.0,180.0,80.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Team,Non-Medal,1.8,24.69
Damiris Dantas do Amaral,F,23.0,192.0,80.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Non-Medal,1.92,21.7
"Fabiana ""Dara"" Carvalho Carneiro Diniz",F,35.0,183.0,71.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Non-Medal,1.83,21.2
Lisa Darmanin,F,24.0,168.0,65.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Medal,1.68,23.03
Joris Nattan Daudet,M,25.0,184.0,78.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's BMX,Non-Medal,1.84,23.04
Christelle Daunay,F,41.0,162.0,43.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,Non-Medal,1.62,16.38
Lukas Dauser,M,23.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Non-Medal,1.72,21.63
Lukas Dauser,M,23.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Non-Medal,1.72,21.63
Lukas Dauser,M,23.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Non-Medal,1.72,21.63
Lukas Dauser,M,23.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Non-Medal,1.72,21.63
Klberson Davide,M,31.0,175.0,69.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,Non-Medal,1.75,22.53
Desiree Nicole Davila-Linden,F,33.0,155.0,43.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,Non-Medal,1.55,17.9
Lucy Davis,F,23.0,165.0,55.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",Non-Medal,1.65,20.2
Lucy Davis,F,23.0,165.0,55.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Medal,1.65,20.2
Lea Davison,F,33.0,168.0,55.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Mountainbike, Cross-Country",Non-Medal,1.68,19.49
"Matthew ""Matt"" Dawson",M,22.0,176.0,66.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Non-Medal,1.76,21.31
Rachel Dawson,F,31.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Non-Medal,1.78,21.46
Marcus Vincius Carvalho Lopes D'Almeida,M,18.0,183.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,Non-Medal,1.83,26.87
Marcus Vincius Carvalho Lopes D'Almeida,M,18.0,183.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Team,Non-Medal,1.83,26.87
Bruno Lins Tenrio de Barros,M,29.0,182.0,85.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,Non-Medal,1.82,25.66
Bruno Lins Tenrio de Barros,M,29.0,182.0,85.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Non-Medal,1.82,25.66
Tatiele Roberta de Carvalho,F,26.0,156.0,50.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",Non-Medal,1.56,20.55
Csar Augusto Aquino de Castro,M,33.0,175.0,72.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Non-Medal,1.75,23.51
Nando de Colo,M,29.0,196.0,91.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Non-Medal,1.96,23.69
Leonardo Gomes de Deus,M,25.0,175.0,70.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Backstroke,Non-Medal,1.75,22.86
Leonardo Gomes de Deus,M,25.0,175.0,70.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Butterfly,Non-Medal,1.75,22.86
Robenlson Vieira de Jesus,M,28.0,166.0,56.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Non-Medal,1.66,20.32
Mathilde de Kerangat,F,24.0,172.0,67.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's One Person Dinghy,Non-Medal,1.72,22.65
Flvia Maria de Lima,F,23.0,176.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,Non-Medal,1.76,20.98
Jailma Sales de Lima,F,29.0,174.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,Non-Medal,1.74,21.47
Jailma Sales de Lima,F,29.0,174.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Non-Medal,1.74,21.47
Joo Bevilaqua de Lucca,M,26.0,193.0,96.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,Non-Medal,1.93,25.77
Joo Bevilaqua de Lucca,M,26.0,193.0,96.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Non-Medal,1.93,25.77
Joo Bevilaqua de Lucca,M,26.0,193.0,96.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Non-Medal,1.93,25.77
Natalia de Luccas,F,19.0,167.0,63.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Non-Medal,1.67,22.59
Ian Carlos Gonalves de Matos,M,27.0,171.0,72.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Non-Medal,1.71,24.62
Andressa Oliveira de Morais,F,25.0,178.0,97.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,Non-Medal,1.78,30.61
Augusto Dutra de Oliveira,M,26.0,180.0,70.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,Non-Medal,1.8,21.6
Ingrid de Oliveira,F,20.0,160.0,58.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Platform,Non-Medal,1.6,22.66
Ingrid de Oliveira,F,20.0,160.0,58.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Platform,Non-Medal,1.6,22.66
Joo Vtor de Oliveira,M,24.0,190.0,87.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,Non-Medal,1.9,24.1
Jlio Csar Miranda de Oliveira,M,30.0,185.0,95.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,Non-Medal,1.85,27.76
Daynara Lopes Ferreira de Paula,F,27.0,163.0,55.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Non-Medal,1.63,20.7
Daynara Lopes Ferreira de Paula,F,27.0,163.0,55.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Butterfly,Non-Medal,1.63,20.7
Daynara Lopes Ferreira de Paula,F,27.0,163.0,55.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Non-Medal,1.63,20.7
rica Rocha de Sena,F,31.0,168.0,55.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,Non-Medal,1.68,19.49
Leticia Cherpe de Souza,F,20.0,165.0,49.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Non-Medal,1.65,18.0
Jos Guilherme de Toledo,M,22.0,193.0,97.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Non-Medal,1.93,26.04
Lisa Marie De Vanna,F,31.0,156.0,53.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.56,21.78
Anthony Dean,M,25.0,175.0,87.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's BMX,Non-Medal,1.75,28.41
Timothy Deavin,M,32.0,185.0,77.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Non-Medal,1.85,22.5
Fanny Deberghes,F,22.0,170.0,65.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Non-Medal,1.7,22.49
"Dbora Cristiane ""Debinha"" de Oliveira",F,24.0,157.0,55.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.57,22.31
Fernanda Demtrio Decnop Coelho,F,29.0,172.0,67.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's One Person Dinghy,Non-Medal,1.72,22.65
Hlne Defrance,F,29.0,179.0,66.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Medal,1.79,20.6
Steffen Deibler,M,29.0,186.0,81.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Non-Medal,1.86,23.41
Steffen Deibler,M,29.0,186.0,81.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly,Non-Medal,1.86,23.41
Steffen Deibler,M,29.0,186.0,81.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Non-Medal,1.86,23.41
Sabrina Julienne Francine Delannoy,F,30.0,171.0,62.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.71,21.2
Eric Delaunay,M,28.0,178.0,83.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Non-Medal,1.78,26.2
Lucien Delfour,M,27.0,177.0,69.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Non-Medal,1.77,22.02
Angelica Delgado,F,25.0,160.0,52.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,Non-Medal,1.6,20.31
Marie-Laure Delie,F,28.0,172.0,65.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.72,21.97
"Matthew ""Matt"" Dellavedova",M,25.0,193.0,89.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Non-Medal,1.93,23.89
Elena Delle Donne,F,26.0,195.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Medal,1.95,22.62
"Cynthia ""Janay"" DeLoach (-Soukup)",F,30.0,166.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,Non-Medal,1.66,21.05
No Delpech,M,30.0,181.0,82.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Non-Medal,1.81,25.03
"Nicholas ""Nick"" Delpopolo",M,27.0,173.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Lightweight,Non-Medal,1.73,25.73
Siraba Dembl,F,30.0,172.0,64.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Medal,1.72,21.63
Joel Dennerley,M,29.0,195.0,91.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.95,23.93
Daniel Paul Dennis-Kengott,M,29.0,165.0,57.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",Non-Medal,1.65,20.94
Rohan Dennis,M,26.0,182.0,72.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",Non-Medal,1.82,21.74
Rohan Dennis,M,26.0,182.0,72.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,Non-Medal,1.82,21.74
Matthew Denny,M,20.0,195.0,118.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,Non-Medal,1.95,31.03
Erin Densham,F,31.0,165.0,52.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,Non-Medal,1.65,19.1
Deonise Fachinello Cavaleiro,F,33.0,180.0,73.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Non-Medal,1.8,22.53
DeMar Darnell DeRozan,M,26.0,201.0,99.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Medal,2.01,24.5
Eli Dershwitz,M,20.0,185.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",Non-Medal,1.85,22.5
Daniel Deuer,M,34.0,190.0,76.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",Non-Medal,1.9,21.05
Daniel Deuer,M,34.0,190.0,76.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Medal,1.9,21.05
Kadidiatou Diani,F,21.0,168.0,64.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.68,22.68
Gabriela Mantellato Dias,F,24.0,175.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Non-Medal,1.75,24.82
Boris Babacar Diaw-Riffiod,M,34.0,203.0,115.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Non-Medal,2.03,27.91
Christian Diener,M,23.0,182.0,82.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Backstroke,Non-Medal,1.82,24.76
Tina Dietze,F,28.0,172.0,68.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Medal,1.72,22.99
Tina Dietze,F,28.0,172.0,68.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Medal,1.72,22.99
Karsten Dilla,M,27.0,188.0,82.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,Non-Medal,1.88,23.2
Yohann Diniz,M,38.0,185.0,66.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,Non-Medal,1.85,19.28
Antoine Diot,M,27.0,193.0,86.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Non-Medal,1.93,23.09
Adrien Dipanda,M,28.0,202.0,105.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Medal,2.02,25.73
"Madeline Jane ""Maya"" DiRado",F,23.0,175.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Medal,1.75,21.22
"Madeline Jane ""Maya"" DiRado",F,23.0,175.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,Medal,1.75,21.22
"Madeline Jane ""Maya"" DiRado",F,23.0,175.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley,Medal,1.75,21.22
"Madeline Jane ""Maya"" DiRado",F,23.0,175.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,Medal,1.75,21.22
Michael DiSanto,M,26.0,185.0,91.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Non-Medal,1.85,26.59
Christian Dissinger,M,24.0,203.0,105.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Medal,2.03,25.48
Cline Distel-Bonnet,F,29.0,170.0,69.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Non-Medal,1.7,23.88
Tervel Ivaylov Dlagnev,M,30.0,188.0,122.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Non-Medal,1.88,34.52
Nicolas d'Oriano,M,19.0,175.0,68.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",Non-Medal,1.75,22.2
Julien d'Ortoli,M,32.0,180.0,75.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Non-Medal,1.8,23.15
