Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Height (m),BMI
Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Medal,1.91,21.66
Monica Aksamit,F,26.0,183.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Medal,1.83,22.1
Julian Alaphilippe,M,24.0,173.0,62.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",Non-Medal,1.73,20.72
Julian Alaphilippe,M,24.0,173.0,62.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,Non-Medal,1.73,20.72
Fiona Albert,F,25.0,174.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Non-Medal,1.74,23.12
Samuel Albrecht,M,34.0,180.0,71.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Non-Medal,1.8,21.91
Gustavo Barreiros de Albuquerque,M,25.0,172.0,85.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Non-Medal,1.72,28.73
Olympia Aldersey,F,24.0,183.0,75.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Non-Medal,1.83,22.4
Alexandra Priscila do Nascimento,F,34.0,177.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Non-Medal,1.77,21.71
Nia Sifaatihii Ali,F,27.0,170.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Medal,1.7,22.49
